episode,robots_requested,seed,robots_spawned,robots_completed,completion_rate,safe_success,ticks,makespan,collisions,waits,replans,blocked_intents,epsilon,q_states,q_decisions,q_updates,q_wait_actions,q_yield_actions,q_replan_actions
1,10,612385486,10,10,1.0,True,175,175,0,5,2,5,0.19940000000000002,9,5,5,5,0,0
2,20,179587351,20,20,1.0,True,184,184,0,6,3,6,0.19880180000000003,15,11,11,10,1,0
3,30,678855015,30,30,1.0,False,214,214,1,37,19,40,0.19820539460000003,47,51,51,45,6,0
4,40,250415600,40,40,1.0,True,229,229,0,26,10,26,0.19761077841620003,54,77,77,70,7,0
5,45,877251209,45,45,1.0,False,248,248,1,60,28,67,0.19701794608095144,73,144,144,132,12,0
6,50,902762750,50,50,1.0,False,222,222,6,181,85,186,0.1964268922427086,126,330,330,307,23,0
7,10,297738788,10,10,1.0,True,193,193,0,0,0,0,0.19583761156598048,126,330,330,307,23,0
8,20,514287012,20,20,1.0,True,187,187,0,7,3,7,0.19525009873128255,127,337,337,314,23,0
9,30,699929305,30,30,1.0,False,195,195,1,50,22,56,0.1946643484350887,140,393,393,365,28,0
10,40,945176277,40,40,1.0,True,192,192,0,13,5,13,0.19408035538978344,142,406,406,378,28,0
11,45,956500977,45,45,1.0,False,238,238,1,84,39,91,0.19349811432361408,154,497,497,455,42,0
12,50,571956172,50,50,1.0,False,211,211,1,44,25,53,0.19291761998064325,163,550,550,504,46,0
13,10,975847197,10,10,1.0,True,191,191,0,0,0,0,0.1923388671207013,163,550,550,504,46,0
14,20,566249171,20,20,1.0,True,190,190,0,9,3,12,0.1917618505193392,163,562,562,514,48,0
15,30,200266330,30,30,1.0,True,187,187,0,9,4,10,0.19118656496778116,164,572,572,522,50,0
16,40,699786654,40,40,1.0,False,217,217,1,71,33,81,0.19061300527287783,168,653,653,591,62,0
17,45,971951314,45,45,1.0,False,214,214,1,40,17,44,0.1900411662570592,175,697,697,630,67,0
18,50,662624631,50,50,1.0,True,200,200,0,43,22,52,0.18947104275828802,175,749,749,671,78,0
19,10,540515021,10,10,1.0,True,203,203,0,0,0,0,0.18890262963001317,175,749,749,671,78,0
20,20,344666014,20,20,1.0,True,186,186,0,9,4,9,0.18833592174112312,175,758,758,679,79,0
21,30,737688678,30,30,1.0,True,194,194,0,18,8,20,0.18777091397589976,175,778,778,699,79,0
22,40,567221538,40,40,1.0,True,216,216,0,23,9,23,0.18720760123397207,176,801,801,720,81,0
23,45,516432330,45,45,1.0,True,203,203,0,45,21,46,0.18664597843027014,176,847,847,759,88,0
24,50,478087950,50,50,1.0,False,213,213,4,90,47,94,0.18608604049497934,186,941,941,838,103,0
25,10,303014845,10,10,1.0,True,195,195,0,0,0,0,0.1855277823734944,186,941,941,838,103,0
26,20,722540392,20,20,1.0,True,187,187,0,4,2,4,0.18497119902637393,186,945,945,841,104,0
27,30,682491594,30,30,1.0,True,214,214,0,19,8,21,0.1844162854292948,189,966,966,855,111,0
28,40,75991389,40,40,1.0,True,215,215,0,18,10,20,0.18386303657300693,189,986,986,872,114,0
29,45,323512462,45,45,1.0,False,205,205,2,50,23,52,0.1833114474632879,193,1038,1038,915,123,0
30,50,444281304,50,50,1.0,False,195,195,4,44,28,50,0.18276151312089803,194,1088,1088,951,137,0
31,10,332064771,10,10,1.0,True,182,182,0,2,1,2,0.18221322858153532,194,1090,1090,953,137,0
32,20,556457778,20,20,1.0,True,197,197,0,19,8,19,0.1816665888957907,200,1109,1109,964,145,0
33,30,532683926,30,30,1.0,True,199,199,0,15,6,17,0.18112158912910334,200,1126,1126,975,151,0
34,40,965139112,40,40,1.0,False,219,219,5,95,58,99,0.18057822436171603,201,1225,1225,1041,184,0
35,45,56476712,45,45,1.0,True,209,209,0,17,10,19,0.18003648968863087,204,1244,1244,1051,193,0
36,50,797880911,50,50,1.0,False,231,231,2,83,53,101,0.179496380219565,206,1345,1345,1104,241,0
37,10,652385873,10,10,1.0,True,172,172,0,0,0,0,0.1789578910789063,206,1345,1345,1104,241,0
38,20,923248131,20,20,1.0,True,184,184,0,15,6,15,0.1784210174056696,206,1360,1360,1113,247,0
39,30,790117870,30,30,1.0,True,215,215,0,18,10,21,0.17788575435345258,206,1381,1381,1122,259,0
40,40,727165208,40,40,1.0,True,206,206,0,26,14,27,0.1773520970903922,210,1408,1408,1135,273,0
41,45,457566285,45,45,1.0,False,207,207,3,79,41,84,0.17682004079912103,210,1492,1492,1182,310,0
42,50,875356479,50,50,1.0,False,187,187,1,51,31,56,0.17628958067672368,211,1548,1548,1221,327,0
43,10,909016800,10,10,1.0,True,195,195,0,2,1,2,0.1757607119346935,211,1550,1550,1221,329,0
44,20,301165395,20,20,1.0,False,194,194,1,21,11,21,0.17523342979888942,211,1571,1571,1234,337,0
45,30,996415820,30,30,1.0,True,240,240,0,18,10,23,0.17470772950949276,212,1594,1594,1250,344,0
46,40,343019314,40,40,1.0,False,198,198,1,70,35,71,0.17418360632096427,213,1665,1665,1298,367,0
47,45,596579515,45,43,0.9555555555555556,False,700,700,0,1136,390,1150,0.1736610555020014,222,2815,2815,2320,495,0
48,50,821155704,50,50,1.0,False,194,194,5,124,77,132,0.1731400723354954,224,2947,2947,2398,549,0
49,10,731596784,10,10,1.0,True,176,176,0,5,2,6,0.1726206521184889,224,2953,2953,2402,551,0
50,20,263731276,20,20,1.0,True,198,198,0,2,1,2,0.17210279016213342,224,2955,2955,2404,551,0
51,30,125904074,30,30,1.0,True,198,198,0,29,13,35,0.171586481791647,224,2990,2990,2428,562,0
52,40,928324388,40,40,1.0,False,208,208,3,84,42,96,0.17107172234627208,234,3086,3086,2495,591,0
53,45,60150537,45,45,1.0,False,221,221,2,43,19,49,0.17055850717923327,234,3135,3135,2529,606,0
54,50,342859266,50,50,1.0,False,218,218,8,161,84,171,0.17004683165769557,245,3306,3306,2660,646,0
55,10,953110812,10,10,1.0,True,207,207,0,1,4,4,0.1695366911627225,247,3310,3310,2661,649,0
56,20,305415233,20,20,1.0,False,183,183,1,19,11,20,0.1690280810892343,247,3330,3330,2679,651,0
57,30,229096460,30,30,1.0,False,197,197,2,35,17,39,0.1685209968459666,247,3369,3369,2710,659,0
58,40,962782778,40,40,1.0,False,196,196,6,71,43,81,0.16801543385542872,248,3450,3450,2768,682,0
59,45,71111810,45,45,1.0,True,203,203,0,67,29,77,0.16751138755386244,252,3527,3527,2823,704,0
60,50,805112172,50,50,1.0,False,223,223,2,107,47,112,0.16700885339120086,253,3639,3639,2899,740,0
61,10,392826125,10,10,1.0,True,169,169,0,0,0,0,0.16650782683102727,253,3639,3639,2899,740,0
62,20,132266597,20,20,1.0,True,189,189,0,11,5,12,0.16600830335053418,253,3651,3651,2908,743,0
63,30,701702530,30,30,1.0,True,182,182,0,18,13,22,0.16551027844048258,253,3673,3673,2918,755,0
64,40,345391759,40,40,1.0,False,193,193,1,83,33,85,0.16501374760516113,254,3758,3758,2986,772,0
65,45,826317043,45,45,1.0,False,202,202,1,41,17,45,0.16451870636234564,254,3803,3803,3017,786,0
66,50,260573761,50,50,1.0,False,206,206,1,72,42,84,0.16402515024325862,255,3887,3887,3073,814,0
67,10,550607872,10,10,1.0,True,185,185,0,0,0,0,0.16353307479252885,255,3887,3887,3073,814,0
68,20,292815765,20,20,1.0,True,200,200,0,4,2,4,0.16304247556815127,255,3891,3891,3075,816,0
69,30,343712706,30,30,1.0,True,190,190,0,18,11,20,0.1625533481414468,255,3911,3911,3091,820,0
70,40,6842832,40,40,1.0,False,233,233,1,36,20,45,0.16206568809702246,256,3956,3956,3125,831,0
71,45,379967256,45,45,1.0,False,208,208,11,137,69,148,0.1615794910327314,261,4104,4104,3237,867,0
72,50,563374762,50,50,1.0,False,214,214,3,95,51,106,0.1610947525596332,264,4210,4210,3318,892,0
73,10,707062318,10,10,1.0,True,184,184,0,1,2,2,0.1606114683019543,264,4212,4212,3319,893,0
74,20,326785378,20,20,1.0,True,206,206,0,11,4,11,0.16012963389704843,264,4223,4223,3326,897,0
75,30,595977298,30,30,1.0,False,189,189,1,25,12,25,0.1596492449953573,264,4248,4248,3348,900,0
76,40,423279140,40,40,1.0,False,237,237,16,188,130,200,0.1591702972603712,269,4448,4448,3510,938,0
77,45,417731058,45,45,1.0,False,205,205,2,63,35,65,0.1586927863685901,269,4513,4513,3547,966,0
78,50,199110553,50,50,1.0,True,208,208,0,26,11,26,0.15821670800948434,269,4539,4539,3568,971,0
79,10,738102040,10,10,1.0,True,188,188,0,2,1,2,0.1577420578854559,269,4541,4541,3568,973,0
80,20,118202751,20,20,1.0,True,194,194,0,10,7,12,0.15726883171179953,269,4553,4553,3574,979,0
81,30,944019904,30,30,1.0,True,210,210,0,16,8,17,0.15679702521666414,270,4570,4570,3586,984,0
82,40,35341816,40,40,1.0,False,213,213,5,103,62,112,0.15632663414101414,271,4682,4682,3658,1024,0
83,45,391463111,45,45,1.0,False,223,223,2,78,34,80,0.1558576542385911,275,4762,4762,3718,1044,0
84,50,937114013,50,50,1.0,False,251,251,6,115,70,123,0.15539008127587534,279,4885,4885,3812,1073,0
85,10,673675702,10,10,1.0,True,194,194,0,4,2,4,0.15492391103204772,279,4889,4889,3814,1075,0
86,20,802482048,20,20,1.0,True,209,209,0,17,7,17,0.15445913929895158,279,4906,4906,3829,1077,0
87,30,733296251,30,30,1.0,True,183,183,0,16,7,16,0.15399576188105474,279,4922,4922,3840,1082,0
88,40,600921690,40,40,1.0,True,205,205,0,29,14,31,0.15353377459541157,279,4953,4953,3864,1089,0
89,45,914894713,45,45,1.0,False,206,206,5,141,72,151,0.15307317327162534,290,5104,5104,3983,1121,0
90,50,132974209,50,50,1.0,False,224,224,4,94,46,104,0.15261395375181047,290,5208,5208,4049,1159,0
91,10,67992941,10,10,1.0,True,189,189,0,2,1,2,0.15215611189055503,290,5210,5210,4051,1159,0
92,20,159933439,20,20,1.0,True,201,201,0,0,0,0,0.15169964355488336,290,5210,5210,4051,1159,0
93,30,100142783,30,30,1.0,True,203,203,0,35,13,39,0.1512445446242187,291,5249,5249,4077,1172,0
94,40,128476170,40,40,1.0,False,213,213,2,67,34,67,0.15079081099034605,294,5316,5316,4117,1199,0
95,45,867755674,45,45,1.0,True,199,199,0,45,18,49,0.15033843855737503,294,5365,5365,4151,1214,0
96,50,339895981,50,50,1.0,True,213,213,0,47,22,54,0.1498874232417029,295,5419,5419,4184,1235,0
97,10,3262971,10,10,1.0,True,183,183,0,2,1,2,0.14943776097197778,295,5421,5421,4184,1237,0
98,20,61844407,20,20,1.0,True,201,201,0,5,5,7,0.14898944768906183,295,5428,5428,4187,1241,0
99,30,440224054,30,30,1.0,True,230,230,0,20,9,22,0.14854247934599465,295,5450,5450,4202,1248,0
100,40,295713101,40,40,1.0,True,230,230,0,20,8,21,0.14809685190795668,295,5471,5471,4214,1257,0
101,45,373842540,45,45,1.0,True,208,208,0,49,22,56,0.14765256135223281,297,5527,5527,4249,1278,0
102,50,217856587,50,50,1.0,True,209,209,0,40,18,44,0.14720960366817612,297,5571,5571,4273,1298,0
103,10,931020292,10,10,1.0,True,169,169,0,0,0,0,0.14676797485717158,297,5571,5571,4273,1298,0
104,20,207058631,20,20,1.0,True,190,190,0,14,6,14,0.14632767093260007,297,5585,5585,4279,1306,0
105,30,726694135,30,30,1.0,True,187,187,0,9,4,9,0.14588868791980228,297,5594,5594,4284,1310,0
106,40,701936023,40,40,1.0,False,214,214,1,34,17,35,0.14545102185604286,297,5629,5629,4303,1326,0
107,45,417200690,45,45,1.0,False,214,214,8,100,56,113,0.14501466879047473,302,5742,5742,4389,1353,0
108,50,491558451,50,50,1.0,False,220,220,5,95,49,103,0.1445796247841033,303,5845,5845,4465,1380,0
109,10,641733394,10,10,1.0,True,187,187,0,6,4,7,0.144145885909751,303,5852,5852,4469,1383,0
110,20,508395561,20,20,1.0,True,203,203,0,0,0,0,0.14371344825202176,303,5852,5852,4469,1383,0
111,30,847937606,30,30,1.0,True,200,200,0,16,6,16,0.1432823079072657,303,5868,5868,4481,1387,0
112,40,384465263,40,40,1.0,False,205,205,2,55,29,60,0.1428524609835439,306,5928,5928,4520,1408,0
113,45,633109803,45,45,1.0,True,208,208,0,32,20,41,0.14242390360059326,306,5969,5969,4537,1432,0
114,50,578761837,50,50,1.0,False,205,205,4,107,50,122,0.14199663188979147,312,6091,6091,4621,1470,0
115,10,487773517,10,10,1.0,True,191,191,0,5,2,5,0.1415706419941221,312,6096,6096,4625,1471,0
116,20,843060424,20,20,1.0,True,189,189,0,4,2,4,0.14114593006813972,312,6100,6100,4626,1474,0
117,30,924431466,30,30,1.0,True,187,187,0,12,7,15,0.1407224922779353,312,6115,6115,4636,1479,0
118,40,330719536,40,40,1.0,True,206,206,0,36,15,38,0.1403003248011015,312,6153,6153,4661,1492,0
119,45,521953023,45,45,1.0,False,205,205,2,85,36,94,0.13987942382669818,319,6247,6247,4738,1509,0
120,50,75405333,50,50,1.0,False,208,208,2,92,50,99,0.1394597855552181,320,6346,6346,4802,1544,0
121,10,10411151,10,10,1.0,True,190,190,0,2,1,2,0.13904140619855243,320,6348,6348,4803,1545,0
122,20,516653530,20,20,1.0,True,171,171,0,12,5,12,0.13862428197995677,320,6360,6360,4811,1549,0
123,30,407774258,30,30,1.0,True,201,201,0,14,6,15,0.1382084091340169,320,6375,6375,4819,1556,0
124,40,407129563,40,40,1.0,False,208,208,1,32,15,32,0.13779378390661487,321,6407,6407,4844,1563,0
125,45,813766731,45,45,1.0,False,212,212,3,95,48,110,0.13738040255489503,321,6517,6517,4924,1593,0
126,50,838061936,50,50,1.0,False,254,254,2,90,45,101,0.13696826134723034,321,6618,6618,4978,1640,0
127,10,388203748,10,10,1.0,True,185,185,0,2,1,2,0.13655735656318865,321,6620,6620,4978,1642,0
128,20,119176542,20,20,1.0,True,201,201,0,7,3,7,0.1361476844934991,321,6627,6627,4982,1645,0
129,30,716846125,30,30,1.0,False,197,197,1,20,10,20,0.1357392414400186,321,6647,6647,4995,1652,0
130,40,937084529,40,40,1.0,False,198,198,3,28,15,32,0.13533202371569852,321,6679,6679,5014,1665,0
131,45,261767256,45,45,1.0,False,214,214,2,67,48,88,0.13492602764455142,321,6767,6767,5062,1705,0
132,50,15920292,50,50,1.0,False,207,207,1,50,28,56,0.13452124956161776,321,6823,6823,5097,1726,0
133,10,582222150,10,10,1.0,True,186,186,0,0,0,0,0.1341176858129329,321,6823,6823,5097,1726,0
134,20,681498732,20,20,1.0,True,204,204,0,13,7,14,0.1337153327554941,321,6837,6837,5102,1735,0
135,30,476309082,30,30,1.0,True,204,204,0,33,13,34,0.13331418675722762,321,6871,6871,5127,1744,0
136,40,776345029,40,40,1.0,False,207,207,2,62,33,67,0.13291424419695594,321,6938,6938,5167,1771,0
137,45,338584207,45,45,1.0,False,204,204,5,68,36,75,0.13251550146436508,322,7013,7013,5217,1796,0
138,50,936979728,50,50,1.0,False,221,221,5,81,44,86,0.13211795495997197,322,7099,7099,5277,1822,0
139,10,954449976,10,10,1.0,True,168,168,0,0,0,0,0.13172160109509207,322,7099,7099,5277,1822,0
140,20,905940105,20,20,1.0,True,198,198,0,14,6,14,0.1313264362918068,322,7113,7113,5284,1829,0
141,30,753875085,30,30,1.0,True,205,205,0,35,17,42,0.13093245698293138,322,7155,7155,5311,1844,0
142,40,926901026,40,40,1.0,True,210,210,0,43,19,46,0.13053965961198258,324,7201,7201,5347,1854,0
143,45,175246843,45,45,1.0,False,195,195,1,45,25,47,0.13014804063314664,324,7248,7248,5379,1869,0
144,50,976943186,50,50,1.0,False,227,227,1,44,22,47,0.1297575965112472,324,7295,7295,5401,1894,0
145,10,531437390,10,10,1.0,True,195,195,0,0,0,0,0.12936832372171345,324,7295,7295,5401,1894,0
146,20,783151103,20,20,1.0,True,185,185,0,9,3,11,0.1289802187505483,324,7306,7306,5408,1898,0
147,30,657412075,30,30,1.0,False,193,193,3,29,17,31,0.12859327809429666,324,7337,7337,5427,1910,0
148,40,519043908,40,40,1.0,False,208,208,2,52,31,61,0.12820749826001376,325,7398,7398,5464,1934,0
149,45,35974921,45,45,1.0,False,219,219,1,50,29,58,0.1278228757652337,325,7456,7456,5490,1966,0
150,50,741775818,50,50,1.0,False,219,219,4,139,57,145,0.127439407137938,333,7601,7601,5612,1989,0
151,10,93916585,10,10,1.0,True,186,186,0,0,0,0,0.12705708891652417,333,7601,7601,5612,1989,0
152,20,950874626,20,20,1.0,True,224,224,0,4,2,4,0.1266759176497746,333,7605,7605,5613,1992,0
153,30,646110581,30,30,1.0,False,213,213,2,39,21,41,0.12629588989682528,333,7646,7646,5641,2005,0
154,40,998849903,40,40,1.0,False,211,211,2,73,37,83,0.1259170022271348,336,7729,7729,5691,2038,0
155,45,783301594,45,45,1.0,True,199,199,0,48,24,52,0.1255392512204534,336,7781,7781,5716,2065,0
156,50,302498316,50,50,1.0,True,217,217,0,61,28,71,0.12516263346679204,339,7852,7852,5761,2091,0
157,10,496808558,10,10,1.0,True,191,191,0,2,1,2,0.12478714556639167,339,7854,7854,5762,2092,0
158,20,300355223,20,20,1.0,True,207,207,0,13,6,15,0.12441278412969249,339,7869,7869,5770,2099,0
159,30,453186034,30,30,1.0,True,191,191,0,29,14,29,0.12403954577730342,339,7898,7898,5790,2108,0
160,40,544328481,40,40,1.0,False,214,214,4,45,22,51,0.1236674271399715,340,7949,7949,5826,2123,0
161,45,436355580,45,45,1.0,True,217,217,0,59,43,83,0.12329642485855159,348,8032,8032,5869,2163,0
162,50,279802351,50,50,1.0,False,198,198,3,75,36,78,0.12292653558397594,348,8110,8110,5919,2191,0
163,10,507370700,10,10,1.0,True,178,178,0,8,4,10,0.12255775597722401,348,8120,8120,5924,2196,0
164,20,941125992,20,20,1.0,True,197,197,0,4,2,4,0.12219008270929234,348,8124,8124,5926,2198,0
165,30,668035954,30,30,1.0,True,195,195,0,16,6,16,0.12182351246116446,348,8140,8140,5936,2204,0
166,40,813416475,40,40,1.0,True,194,194,0,23,12,27,0.12145804192378097,349,8167,8167,5954,2213,0
167,45,517442548,45,45,1.0,True,215,215,0,63,34,68,0.12109366779800963,349,8235,8235,5995,2240,0
168,50,416418753,50,50,1.0,False,212,212,3,78,40,82,0.1207303867946156,349,8317,8317,6043,2274,0
169,10,22046529,10,10,1.0,True,180,180,0,3,2,4,0.12036819563423176,349,8321,8321,6046,2275,0
170,20,815017090,20,20,1.0,False,219,219,1,23,12,23,0.12000709104732907,349,8344,8344,6056,2288,0
171,30,426392802,30,30,1.0,False,201,201,1,56,29,65,0.11964706977418708,349,8409,8409,6094,2315,0
172,40,341046713,40,40,1.0,True,202,202,0,29,18,32,0.11928812856486452,350,8441,8441,6112,2329,0
173,45,862267453,45,45,1.0,False,192,192,3,63,33,71,0.11893026417916992,351,8512,8512,6152,2360,0
174,50,348917167,50,50,1.0,False,207,207,5,101,54,112,0.11857347338663242,351,8624,8624,6219,2405,0
175,10,180015876,10,10,1.0,True,190,190,0,4,2,4,0.11821775296647252,351,8628,8628,6221,2407,0
176,20,113349857,20,20,1.0,True,192,192,0,10,5,13,0.11786309970757311,351,8641,8641,6227,2414,0
177,30,198924219,30,30,1.0,True,192,192,0,15,10,21,0.1175095104084504,351,8662,8662,6241,2421,0
178,40,982457606,40,40,1.0,True,195,195,0,43,23,48,0.11715698187722505,354,8710,8710,6275,2435,0
179,45,764155148,45,45,1.0,False,235,235,2,86,41,94,0.11680551093159337,356,8804,8804,6357,2447,0
180,50,343286731,50,50,1.0,False,223,223,3,100,53,112,0.11645509439879859,356,8916,8916,6440,2476,0
181,10,667887544,10,10,1.0,True,167,167,0,0,0,0,0.11610572911560219,356,8916,8916,6440,2476,0
182,20,307267872,20,20,1.0,True,197,197,0,10,5,12,0.11575741192825538,356,8928,8928,6449,2479,0
183,30,974601345,30,30,1.0,False,199,199,2,53,31,53,0.11541013969247062,356,8981,8981,6491,2490,0
184,40,669558115,40,40,1.0,True,210,210,0,24,10,24,0.1150639092733932,356,9005,9005,6510,2495,0
185,45,185204042,45,45,1.0,True,211,211,0,37,19,47,0.11471871754557303,356,9052,9052,6548,2504,0
186,50,816753061,50,50,1.0,False,203,203,2,94,49,104,0.11437456139293631,357,9156,9156,6634,2522,0
187,10,777550534,10,10,1.0,True,191,191,0,6,3,7,0.1140314377087575,357,9163,9163,6639,2524,0
188,20,379660345,20,20,1.0,True,201,201,0,4,2,4,0.11368934339563122,357,9167,9167,6642,2525,0
189,30,892600323,30,30,1.0,True,211,211,0,9,4,9,0.11334827536544433,357,9176,9176,6650,2526,0
190,40,459645256,40,40,1.0,True,199,199,0,28,12,33,0.113008230539348,357,9209,9209,6677,2532,0
191,45,465970949,45,45,1.0,True,201,201,0,30,12,32,0.11266920584772995,359,9241,9241,6705,2536,0
192,50,999401296,50,50,1.0,False,217,217,1,49,24,53,0.11233119823018677,359,9294,9294,6747,2547,0
193,10,869268859,10,10,1.0,True,194,194,0,0,0,0,0.11199420463549621,359,9294,9294,6747,2547,0
194,20,359521743,20,20,1.0,True,193,193,0,6,3,6,0.11165822202158972,359,9300,9300,6752,2548,0
195,30,993651520,30,30,1.0,True,184,184,0,21,12,22,0.11132324735552494,359,9322,9322,6770,2552,0
196,40,693840461,40,40,1.0,False,189,189,2,41,22,45,0.11098927761345836,365,9367,9367,6808,2559,0
197,45,933024212,45,45,1.0,False,203,203,1,72,34,74,0.110656309780618,365,9441,9441,6870,2571,0
198,50,395439275,50,50,1.0,False,199,199,3,53,21,59,0.11032434085127614,366,9500,9500,6921,2579,0
199,10,805830515,10,10,1.0,True,180,180,0,5,2,5,0.10999336782872231,366,9505,9505,6925,2580,0
200,20,925360358,20,20,1.0,True,206,206,0,33,11,36,0.10966338772523614,366,9541,9541,6956,2585,0
201,30,629903986,30,30,1.0,False,207,207,2,33,12,37,0.10933439756206043,368,9578,9578,6986,2592,0
202,40,705357735,40,40,1.0,True,207,207,0,41,17,44,0.10900639436937425,368,9622,9622,7024,2598,0
203,45,549162128,45,45,1.0,False,203,203,2,45,23,49,0.10867937518626612,368,9671,9671,7065,2606,0
204,50,37406703,50,50,1.0,False,208,208,3,47,19,51,0.10835333706070732,368,9722,9722,7109,2613,0
205,10,912963935,10,10,1.0,True,188,188,0,0,0,0,0.1080282770495252,368,9722,9722,7109,2613,0
206,20,801879659,20,20,1.0,True,184,184,0,7,3,7,0.10770419221837661,368,9729,9729,7115,2614,0
207,30,671159170,30,30,1.0,True,199,199,0,12,6,13,0.10738107964172149,368,9742,9742,7122,2620,0
208,40,962510443,40,40,1.0,False,215,215,1,59,28,60,0.10705893640279632,368,9802,9802,7168,2634,0
209,45,774412918,45,45,1.0,False,225,225,2,60,28,60,0.10673775959358793,368,9862,9862,7217,2645,0
210,50,13812585,50,50,1.0,True,211,211,0,71,34,84,0.10641754631480717,368,9946,9946,7279,2667,0
211,10,244723283,10,10,1.0,True,181,181,0,4,2,4,0.10609829367586275,368,9950,9950,7282,2668,0
212,20,516069058,20,20,1.0,True,191,191,0,4,2,4,0.10577999879483516,368,9954,9954,7286,2668,0
213,30,98982542,30,30,1.0,True,196,196,0,32,16,32,0.10546265879845065,370,9986,9986,7311,2675,0
214,40,855771958,40,40,1.0,False,204,204,1,60,28,65,0.1051462708220553,370,10051,10051,7359,2692,0
215,45,290291345,45,45,1.0,True,211,211,0,13,6,14,0.10483083200958913,370,10065,10065,7370,2695,0
216,50,910382065,50,50,1.0,False,218,218,9,199,114,225,0.10451633951356036,372,10290,10290,7550,2740,0
217,10,626390696,10,10,1.0,True,172,172,0,4,2,4,0.10420279049501968,372,10294,10294,7553,2741,0
218,20,83951594,20,20,1.0,True,220,220,0,7,3,7,0.10389018212353462,372,10301,10301,7559,2742,0
219,30,615244655,30,30,1.0,True,194,194,0,19,9,22,0.10357851157716402,372,10323,10323,7575,2748,0
220,40,126068181,40,40,1.0,True,194,194,0,11,5,11,0.10326777604243254,372,10334,10334,7585,2749,0
221,45,213276105,45,45,1.0,False,214,214,4,81,41,82,0.10295797271430523,372,10416,10416,7653,2763,0
222,50,925773786,50,50,1.0,False,207,207,1,81,35,93,0.10264909879616232,374,10509,10509,7726,2783,0
223,10,202511509,10,10,1.0,True,200,200,0,5,2,5,0.10234115149977384,374,10514,10514,7730,2784,0
224,20,213739996,20,20,1.0,True,195,195,0,3,1,3,0.10203412804527452,374,10517,10517,7733,2784,0
225,30,653861294,30,30,1.0,True,203,203,0,22,10,25,0.1017280256611387,374,10542,10542,7751,2791,0
226,40,76775041,40,40,1.0,True,207,207,0,23,13,25,0.10142284158415528,374,10567,10567,7767,2800,0
227,45,69267154,45,45,1.0,True,230,230,0,38,15,38,0.10111857305940282,374,10605,10605,7797,2808,0
228,50,994715451,50,50,1.0,True,214,214,0,50,23,59,0.10081521734022461,374,10664,10664,7844,2820,0
229,10,729986059,10,10,1.0,True,189,189,0,0,0,0,0.10051277168820394,374,10664,10664,7844,2820,0
230,20,828961974,20,20,1.0,True,198,198,0,5,2,5,0.10021123337313932,374,10669,10669,7849,2820,0
231,30,11835323,30,30,1.0,False,223,223,1,23,12,25,0.0999105996730199,374,10694,10694,7872,2822,0
232,40,615965676,40,40,1.0,False,214,214,2,58,28,58,0.09961086787400085,376,10752,10752,7919,2833,0
